"Aasta","Tegevusala","Kivisüsi, tuhat t","Koks, tuhat t","Põlevkivi, tuhat t","Freesturvas, tuhat t","Tükkturvas, tuhat t","Turbabrikett, tuhat t","Puitkütus (väärindamata)*, tuhat tm","Küttepuud, tuhat tm","Puiduhake ja -jäätmed, tuhat tm","Puiduhake, tuhat tm","Puidujäätmed, tuhat tm","Puidubrikett ja -graanulid, tuhat t","Maagaas, mln m³","Vedelgaas, tuhat t","Raske kütteõli, tuhat t","Põlevkiviõli (raske fraktsioon), tuhat t","Kerge kütteõli ja diislikütus, tuhat t","Diislikütus, tuhat t","Autobensiin, tuhat t","Lennukikütus, tuhat t","Põlevkivigaas, mln m³","Biogaas, mln m³","Muu biomass**, tuhat t","Jäätmekütus, tuhat t","Bituumen, tuhat t","Määrdeained, tuhat t","Elektrienergia, GWh","Soojus, GWh"
"2011","Majutus ja toitlustus",0.0,0.0,0.0,0.0,0.2,0.0,4.9,4.0,0.9,0.8,0.1,0.3,4.4,0.0,0.0,0.1,1.4,1.2,1.5,0.0,0.0,0.0,0.0,..,0.0,0.0,201,135
"2011","Info ja side",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.3,2.1,0.0,0.0,0.0,0.0,..,0.0,0.0,112,15
"2011","Finants- ja kindlustustegevus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,..,0.0,0.0,23,12
"2011","Kinnisvaraalane tegevus",0.4,0.0,0.0,0.0,0.6,0.0,10.2,5.2,5.0,5.1,0.0,0.0,15.0,0.0,0.0,0.3,4.6,3.7,2.4,0.0,0.0,0.0,0.0,..,0.0,0.0,745,225
"2011","Kutse-, teadus- ja tehnikaalane tegevus",0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,2.7,1.9,7.0,0.0,0.0,0.0,0.0,..,0.0,0.0,35,17
"2011","Haldus- ja abitegevused",0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,53.1,50.8,4.9,0.0,0.0,0.0,0.0,..,0.0,0.0,20,17
"2011","Avalik haldus ja riigikaitse",0.7,0.0,0.0,0.0,0.0,0.0,17.6,10.5,7.1,5.0,2.1,0.9,2.0,0.1,0.0,0.4,11.0,6.1,2.9,0.3,0.0,0.0,0.0,..,0.0,0.0,105,165
"2011","Haridus",0.3,0.0,0.0,0.0,0.0,0.0,5.9,3.3,2.6,2.6,0.0,0.2,9.0,0.0,0.1,0.5,1.7,1.1,1.3,0.2,0.0,0.0,0.0,..,0.0,0.0,69,112
"2011","Tervishoid ja sotsiaalhoolekanne",0.0,0.0,0.0,0.0,0.0,0.0,4.7,3.4,1.3,1.3,0.0,0.0,2.0,0.0,0.0,0.0,2.2,0.9,1.4,0.0,0.0,0.0,0.0,..,0.0,0.0,59,95
"2011","Kunst, meelelahutus ja vaba aeg",0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.7,0.6,0.8,0.0,0.0,0.0,0.0,..,0.0,0.0,26,27
"2011","Muud teenindavad tegevused",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,3.1,0.1,0.0,0.0,0.6,0.6,0.8,0.0,0.0,0.0,0.0,..,0.0,0.0,38,27
"2011","Kodumajapidamine",10.0,0.0,0.0,0.0,0.0,11.0,1960.0,..,..,..,..,48.0,64.0,3.0,0.0,0.0,79.0,74.0,184.0,0.0,0.0,0.0,0.0,..,0.0,0.0,1934,3869
"2012","Tegevusalad kokku",64.4,0.0,17526.7,237.3,27.2,13.1,4495.8,1559.9,2935.9,1637.2,1298.7,32.7,657.4,13.0,0.9,66.6,671.2,601.0,251.8,37.7,1141.7,6.9,145.3,..,43.8,2.8,8847,8599
