Aasta,Maakond,Kogus,Liik,Ühik_x,Ühikuhind,Ühik_y,Kogukulu
2018,Valga maakond,0.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,0.0
2018,Viljandi maakond,7.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,2278.15
2018,Võru maakond,0.0,Maagaas,miljonit m³,325.45,eurot/tuhat m³,0.0
2019,Kogu Eesti,460.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,150921.4
2019,Harju maakond,284.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,93177.56
2019,..Tallinn,251.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,82350.59
2019,Hiiu maakond,0.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,0.0
2019,Ida-Viru maakond,53.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,17388.77
2019,Jõgeva maakond,4.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,1312.36
2019,Järva maakond,3.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,984.27
2019,Lääne maakond,0.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,0.0
2019,Lääne-Viru maakond,35.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,11483.15
2019,Põlva maakond,4.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,1312.36
2019,Pärnu maakond,12.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,3937.08
2019,Rapla maakond,22.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,7217.98
2019,Saare maakond,2.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,656.18
2019,Tartu maakond,33.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,10826.97
2019,..Tartu linn,19.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,6233.71
2019,Valga maakond,0.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,0.0
2019,Viljandi maakond,7.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,2296.63
2019,Võru maakond,1.0,Maagaas,miljonit m³,328.09,eurot/tuhat m³,328.09
2012,Kogu Eesti,1.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,565.44
2012,Harju maakond,1.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,565.44
2012,..Tallinn,1.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,565.44
2012,Hiiu maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,Ida-Viru maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,Jõgeva maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,Järva maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,Lääne maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,Lääne-Viru maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,Põlva maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,Pärnu maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,Rapla maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,Saare maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
